question;correct_answer;wrong_answer;"free_response ";difficult_level;tags
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/EU-Portugal_with_islands_circled.svg/500px-EU-Portugal_with_islands_circled.svg.png"" height=""300"" />";"Portogallo ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/QAT_orthographic.svg/500px-QAT_orthographic.svg.png"" height=""300"" />";"Qatar ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Democratic_Republic_of_the_Congo_%28orthographic_projection%29.svg/500px-Democratic_Republic_of_the_Congo_%28orthographic_projection%29.svg.png"" height=""300"" />";"RD del Congo ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/EU-United_Kingdom.svg/500px-EU-United_Kingdom.svg.png"" height=""300"" />";"Regno Unito ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Central_African_Republic_%28orthographic_projection%29.svg/500px-Central_African_Republic_%28orthographic_projection%29.svg.png"" height=""300"" />";"Rep. Centrafricana ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Republic_of_the_Congo_%28orthographic_projection%29.svg/500px-Republic_of_the_Congo_%28orthographic_projection%29.svg.png"" height=""300"" />";"Rep. del Congo ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Dominican_Republic_%28orthographic_projection%29.svg/500px-Dominican_Republic_%28orthographic_projection%29.svg.png"" height=""300"" />";"Rep. Dominicana ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/EU-Czechia.svg/500px-EU-Czechia.svg.png"" height=""300"" />";"Repubblica Ceca";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/EU-Romania.svg/500px-EU-Romania.svg.png"" height=""300"" />";"Romania ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/LocationRwanda.svg/500px-LocationRwanda.svg.png"" height=""300"" />";"Ruanda ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Russian_Federation_%28orthographic_projection%29_-_Crimea_disputed.svg/500px-Russian_Federation_%28orthographic_projection%29_-_Crimea_disputed.svg.png"" height=""300"" />";"Russia ";;;;Europa|Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/KNA_orthographic.svg/500px-KNA_orthographic.svg.png"" height=""300"" />";"Saint Kitts e Nevis ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/VCT_orthographic.svg/500px-VCT_orthographic.svg.png"" height=""300"" />";"Saint Vincent e Grenadine ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Samoa_on_the_globe_%28Polynesia_centered%29.svg/500px-Samoa_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Samoa ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Location_San_Marino_Europe.png/548px-Location_San_Marino_Europe.png"" height=""300"" />";"San Marino ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/b/b6/LocationSaintLucia.png"" height=""300"" />";"Santa Lucia ";;;;"America Centrale"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Location_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe_AU_Africa.svg/500px-Location_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe_AU_Africa.svg.png"" height=""300"" />";"São Tomé e Príncipe ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Location_Senegal_AU_Africa.svg/500px-Location_Senegal_AU_Africa.svg.png"" height=""300"" />";"Senegal ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Location_Serbia_Europe.png/548px-Location_Serbia_Europe.png"" height=""300"" />";"Serbia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Seychelles_in_its_region_%28small_islands_magnified%29.svg/500px-Seychelles_in_its_region_%28small_islands_magnified%29.svg.png"" height=""300"" />";"Seychelles ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Location_Sierra_Leone_AU_Africa.svg/500px-Location_Sierra_Leone_AU_Africa.svg.png"" height=""300"" />";"Sierra Leone ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Singapore_in_its_region_%28zoom%29.svg/500px-Singapore_in_its_region_%28zoom%29.svg.png"" height=""300"" />";"Singapore ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Syria_%28orthographic_projection%29.svg/500px-Syria_%28orthographic_projection%29.svg.png"" height=""300"" />";"Siria ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/EU-Slovakia.svg/500px-EU-Slovakia.svg.png"" height=""300"" />";"Slovacchia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/EU-Slovenia.svg/500px-EU-Slovenia.svg.png"" height=""300"" />";"Slovenia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Somalia_%28orthographic_projection%29.svg/500px-Somalia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Somalia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/EU-Spain.svg/500px-EU-Spain.svg.png"" height=""300"" />";"Spagna ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Sri_Lanka_%28orthographic_projection%29.svg/500px-Sri_Lanka_%28orthographic_projection%29.svg.png"" height=""300"" />";"Sri Lanka ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/USA_orthographic.svg/500px-USA_orthographic.svg.png"" height=""300"" />";"Stati Uniti ";;;;"Nord America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Location_South_Africa_AU_Africa.svg/500px-Location_South_Africa_AU_Africa.svg.png"" height=""300"" />";"Sudafrica|Sud Africa";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Sudan_%28orthographic_projection%29_highlighted.svg/500px-Sudan_%28orthographic_projection%29_highlighted.svg.png"" height=""300"" />";"Sudan ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/South_Sudan_hd_%28orthographic_projection%29.svg/500px-South_Sudan_hd_%28orthographic_projection%29.svg.png"" height=""300"" />";"Sudan del Sud ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Suriname_%28orthographic_projection%29.svg/500px-Suriname_%28orthographic_projection%29.svg.png"" height=""300"" />";"Suriname ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/06/EU-Sweden.svg/500px-EU-Sweden.svg.png"" height=""300"" />";"Svezia ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Europe-Switzerland.svg/500px-Europe-Switzerland.svg.png"" height=""300"" />";"Svizzera ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Location_Swaziland_AU_Africa.svg/500px-Location_Swaziland_AU_Africa.svg.png"" height=""300"" />";"Swaziland ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Tajikistan_%28orthographic_projection%29.svg/500px-Tajikistan_%28orthographic_projection%29.svg.png"" height=""300"" />";"Tagikistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Locator_map_of_the_ROC_Taiwan.svg/500px-Locator_map_of_the_ROC_Taiwan.svg.png"" height=""300"" />";Taiwan;;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Tanzania_%28orthographic_projection%29.svg/500px-Tanzania_%28orthographic_projection%29.svg.png"" height=""300"" />";"Tanzania ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Thailand_%28orthographic_projection%29.svg/500px-Thailand_%28orthographic_projection%29.svg.png"" height=""300"" />";"Thailandia ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/LocationEastTimor.svg/500px-LocationEastTimor.svg.png"" height=""300"" />";"Timor Est ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Location_Togo_AU_Africa.svg/500px-Location_Togo_AU_Africa.svg.png"" height=""300"" />";"Togo ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Tonga_on_the_globe_%28Polynesia_centered%29.svg/500px-Tonga_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Tonga ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Trinidad_and_Tobago_%28orthographic_projection%29.svg/500px-Trinidad_and_Tobago_%28orthographic_projection%29.svg.png"" height=""300"" />";"Trinidad e Tobago ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Tunisia_in_its_region.svg/500px-Tunisia_in_its_region.svg.png"" height=""300"" />";"Tunisia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Turkey_%28orthographic_projection%29.svg/500px-Turkey_%28orthographic_projection%29.svg.png"" height=""300"" />";"Turchia ";;;;Asia|Europe
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/LocationTurkmenistan.svg/500px-LocationTurkmenistan.svg.png"" height=""300"" />";"Turkmenistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Tuvalu_on_the_globe_%28Polynesia_centered%29.svg/500px-Tuvalu_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Tuvalu ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Europe-Ukraine-Disputed.svg/500px-Europe-Ukraine-Disputed.svg.png"" height=""300"" />";"Ucraina ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Uganda_%28orthographic_projection%29.svg/500px-Uganda_%28orthographic_projection%29.svg.png"" height=""300"" />";"Uganda ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/EU-Hungary.svg/500px-EU-Hungary.svg.png"" height=""300"" />";"Ungheria ";;;;Europa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Uruguay_%28orthographic_projection%29.svg/500px-Uruguay_%28orthographic_projection%29.svg.png"" height=""300"" />";"Uruguay ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/%D0%A3%D0%B7%D0%B1%D0%B5%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD_%D0%BD%D0%B0_%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D1%81%D0%B5.svg/500px-%D0%A3%D0%B7%D0%B1%D0%B5%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD_%D0%BD%D0%B0_%D0%B3%D0%BB%D0%BE%D0%B1%D1%83%D1%81%D0%B5.svg.png"" height=""300"" />";"Uzbekistan ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Vanuatu_on_the_globe_%28Polynesia_centered%29.svg/500px-Vanuatu_on_the_globe_%28Polynesia_centered%29.svg.png"" height=""300"" />";"Vanuatu ";;;;Oceania
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/VEN_orthographic.svg/500px-VEN_orthographic.svg.png"" height=""300"" />";"Venezuela ";;;;"Sud America"
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Location_Vietnam_ASEAN.svg/500px-Location_Vietnam_ASEAN.svg.png"" height=""300"" />";"Vietnam ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Yemen_%28orthographic_projection%29.svg/500px-Yemen_%28orthographic_projection%29.svg.png"" height=""300"" />";"Yemen ";;;;Asia
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Zambia_%28orthographic_projection%29.svg/500px-Zambia_%28orthographic_projection%29.svg.png"" height=""300"" />";"Zambia ";;;;Africa
"<img src=""http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Zimbabwe_%28orthographic_projection%29.svg/500px-Zimbabwe_%28orthographic_projection%29.svg.png"" height=""300"" />";"Zimbabwe ";;;;Africa
;;;;;
;;;;;
