correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"1 Rendita stabile di un beneficio ecclesiastico  (est.) Il beneficio stesso. 
2 (est.) Guadagno, lucro.";;;;;prebenda;;;
"1) la regione anteriore del torace in corrispondenza del cuore;
2) [plurale letterario] membrana che avvolge il cuore e gli altri organi interni del torace, anticamente ritenuta sede dei sentimenti e degli affetti;
3) la parte più intima dell'animo: ";;;;;precordio;;;
"1. (lett.) Agire contrariamente all'onestà, all'onore, eccedere i limiti del lecito. SIN. Trasgredire  (lett.) Peccare.
2 Abusare del potere e sim., per trarne vantaggi personali.";;;;;prevaricare;;;
"nella religione greca il dio della forza sessuale maschile e anche della fertitlità";;;;;priapo;;;
"Lega di rame, zinco e stagno che d'aspetto è simile all'oro. In senso figurato qualcosa di pretenzioso e di poco valore";;;;;princisbecco;;;
"Che si caratterizza per un eroico e disperato spirito di sfida";;;;;priometeico;;;
"1) specie al pl. segno promonitore 
2) specie al pl. Sintomo che precede una malattia";;;;;prodromo;;;
"Che dà, guarda, è volto verso un luogo:";;;;;prospicente;;;
"1) proposizione che esprime la condizione in un periodo ipotetico , la premessa del sillogismo 2) parte introduttiva dei poemi classici";;;;;protasi;;;
"Ostinazione piena di arroganza e superbia.";;;;;protervia;;;
"Genitali esterni.";;;;;pudende;;;
"(filos.) Nella filosofia medievale, l'essere, la sostanza.";;;;;quiddità;;;
"1) nella spiritualità cattolica rapporto religioso che riteneva la contemplazione mistica premintete sul culto esteriore 
2) apatia, amore del quieto vivere";;;;;quietismo;;;
"confermare, riconoscere come stabilito";;;;;ratificare;;;
"Ciascuna delle punte di un attrezzo forcuto, come la forca, la forchetta ecc.";;;;;rebbio;;;
"Remare / Battere le ali in modo eguale.";;;;;remigare;;;
"Luogo che contiene o riceve qualcosa o qualcuno. Spazio o oggetto in cui si raccoglie qualcosa o qualcuno. Anche figurato. Quella casa è un ricettacolo di pellegrini. La valle è un ricettacolo di acque. Ricettacolo di ogni bruttura. Ricovero o rifugio Quella donna era un vascello di ogni vizo quella ricettacolo di ogni virtù";;;;;ricettacolo;;;
"1 Non volere, non accettare:Rifiutare di fare qlco.:
2 (dir.) Chiedere giudizialmente che un funzionario giudiziario, un consulente tecnico o un arbitro non esplichi nel caso concreto la propria funzione non sussistendo tutte le condizioni perché ciò possa avvenire ritualmente.
3 (lett.) Rifiutarsi, non acconsentire: 
4 (mar.) Detto di imbarcazione a vela, fallire la virata in prua restando sul bordo precedente  Detto del vento, scarseggiare o girare verso prua. CONTR. Ridondare.";;;;;ricusare;;;
"1 (lett.) Rendere ottusa, spuntare, ribattere una punta: 
2 (fig.) Reprimere, soffocare, contrastare: Ribattere, respingere: ";;;;;rintuzzare;;;
"s.m. chi si vanta con arroganza e temerarietà di imprese straordinarie";;;;;rodomonte;;;
"Di aspetto ancora fresco e florido, di colorito sano, detto spec. di persona anziana: ";;;;;rubizzo;;;
"Agg. (lett.) Rosso acceso (gener.) Splendente, risplendente.";;;;;rutilante;;;
"rosseggiare, rifulgere, luccicare";;;;;rutilare;;;
"Nella marineria velica, originariamente, apertura a murata attraverso la quale sparavano i cannoni di bordo; veniva solitamente chiusa da robusti portelli detti mantelletti ";;;;;sabordo;;;
"Arringa o altro pesce conservato sotto sale o affumicato, per est. Cibo misero da poveri, fig. persona magra patita";;;;;salacca;;;
"Cantare salmi, inni religiosi, spec. in coro.";;;;;salmodiare;;;
"(mus.) In Grecia, termine che indicava tutti gli strumenti a corde pizzicate con le dita Nel Medio Evo, strumento formato da una cassetta di legno triangolare o più spesso trapezoidale, sopra la quale erano tese da 6 a 16 corde da pizzicare con il plettro o con le dita Strumento cordofono a percussione, di forma trapezoidale Libro liturgico dei testi e delle musiche dei salmi gregoriani, che gli Ebrei accompagnavano tale strumento.";;;;;salterio;;;
"tumore maligno originato da uno qualunque dei tessuti connettivi";;;;;sarcoma;;;
"alga oceanica delle Feoficee, ";;;;;sargasso;;;
"atto a essere seminato o coltivato";;;;;sativo;;;
"1) ruvido
2) conciso";;;;;scabro;;;
"1 Quaderno di più fogli, anche non legati insieme, usato per minute, per prendere appunti, e sim.  Libro malridotto.
2 Libro o scheda in cui vengono registrate le prime note di un'azienda.";;;;;scartafaccio;;;
"privo esente";;;;;scevro;;;
" [sovrapposizione di sciacquare e bordare (1); 1805]
A v. tr. (io sciabordo)
 Agitare un liquido nel recipiente che lo contiene: sciabordare vino, olio  Agitare un oggetto immerso in un liquido: sciabordare i panni nell'acqua.
B v. intr. (aus. avere)
 Frangersi contro la riva, la chiglia di una nave o sim., detto di piccole onde tranquille.";;;;;sciabordare;;;
"agg.
1 Privo di sapore: carne scipita. SIN. Insipido. CONTR. Salato.
2 (fig.) Insulso, privo di spirito: barzelletta scipita.";;;;;scipito;;;
"v. tr. (io scombuio)
 (raro) Disordinare, mettere sossopra  (lett.) Confondere, frastornare: comunicazioni che mi hanno scombuiato il cervello (FOGAZZARO).";;;;;scombuiare;;;
"Sedia a braccioli e scheinale particolamente alti";;;;;scranna;;;
"1) che incita alla  ribellione contro il potere ufficiale, rivolta.
2)2 Che provoca, favorisce, partecipa a una ribellione, detto di persona SIN. Ribelle, sovversivo.";;;;;sedizioso;;;
"(lett.) Segno, insegna, simbolo:";;;;;segnacolo;;;
"lunare, della luna";;;;;selenico;;;
"studio dei segni e dei sintomi delle malattie e dei metodi per rilevarle.";;;;;semeiotica;;;
"Dottrina strettamente legata alla gnoseologia, che studia i segni e la conoscenza simbolica in generale / scienza che studia i sistemi di segni sia naturali sia artificiali attraverso i quali avviene la comunicazione, suddivisa in semantica, sintattica e pragmatica ";;;;;semiotica;;;
"Parte più bassa e interna di portare o recapitare qualcosa a qualcuno";;;;;sentina;;;
"strumento per misurare l'angolo tra due oggetti";;;;;sestante;;;
"Nel diritto canonico, delitto consistente nel vendere o comprare, o anche nella sola intenzione di commerciare, cose sacre o spirituali Peccato corrispondente al delitto di simonia. Da Simone Mago Samaritano che cercò di comprare da S.Pietro il potere di trasmettere i doni dello Spirito Santo";;;;;simonia;;;
"Statua, ritratto, immagine, specie di personaggi illustri / Parvenza, immagine lontana dal vero.";;;;;simulacro;;;
"fusione di elementi mitologici, culturali e dottrinali di varie religioni anche in forme incoerenti.";;;;;sincretismo;;;
"Figura retorica che consiste nell'esprimere un'idea con una parola adoperata normalmente per indicare un'idea diversa, ma avente con la prima un rapporto di qualità come quando si nomina il tutto per la parte o la parte per il tutto, il singolare per il plurale o viceversa, il genere per la specie l'oggetto con il nome della materia di cui è fatto.";;;;;"sineddoche ";;;
"bassofondo di sabbie mobili, pericoloso per la navigazione 2) Pericolo insidia";;;;;sirte;;;
"v. tr. (io slumaco, tu slumachi)
 Allumacare Macchiare con strisce di bava, come fa la lumaca  (est.) Insudiciare.";;;;;slumacare;;;
"Compagno amico / Nella Roma antica chi apparteneva ad un sodalizio";;;;;sodale;;;
"1) sporco, lordo 2) avaro spilorcio";;;;;sordido;;;
"Nelle religioni, dottrina che riguarda la salvezza.";;;;;soteriologia;;;
"1 lett. Andare oltre, superare qlco. 2 fig. Imporsi con la forza, sopraffare qlcu.: ";;;;;soverchiare;;;
"Eccessivo, esagerato:";;;;;soverchio;;;
"Secondo la terminologia di Paracelso, l'antica scienza chimica intesa come arte che si occupa della composizione e decomposizione delle sostanze.";;;;;spagirica;;;
"s. f.1 Grosso fucile a canna lunga e di grande calibro, usato in passato per tiri a distanza su stormi di anatre posate.
2 Antica macchina da guerra che lanciava grosse pietre  Grossa arma da fuoco da posta del XV sec.";;;;;spingarda;;;
"non legittimo; non autentico, falsificato";;;;;spurio;;;
"s. m. 1 Recinto ove sono raccolte di notte pecore o mandrie al pascolo. SIN. Addiaccio.
2 Sterco degli animali di stalla misto a paglia. SIN. Letame, stallatico.";;;;;stabbio;;;
"sm
costrutto o procedimento stilistico caratteristico e ripetuto in un dato autore, in una scuola, in un periodo storico. Ciascun elemento che contribuisce a formare uno stile.";;;;;stilema;;;
"1) caduta dell'acqua a goccia a goccia 2) ripetizione continua e fastidiosa di qualcosa";;;;;stillicidio;;;
"canto popolare specie dell'italia centrale composto da due endecasillabi preceduti da un quinario. ";;;;;stornello;;;
"Paglia, fieno e sim., usati per alimento o lettiera al bestiame Erbe secche.";;;;;strame;;;
"s. m. 1 (veter., pop.) Adenite equina.
2 (spec. al pl.) Singhiozzo, senso di peso allo stomaco e di soffocamento per avere mangiato troppo: ";;;;;stranguglione;;;
"Forma di somministrazione di medicamenti medianti fumi.";;;;;suffumigo;;;
"Di concetto introdotto al di fuori della coerenza logica, in contrasto con i principi fondamentali di un'argomentazione";;;;;surrettizio;;;
"Aspetto, contegno, dignitoso e sostenuto, non privo di una certa altezzosità:";;;;;sussiego;;;
"il predominio del mare.";;;;;talassocrazia;;;
"1) custodia, astuccio
2) astuccio o scatola in cui si conservano le reliquie dei santi";;;;;teca;;;
"molto noioso e fastidioso: ";;;;;tedioso;;;
"Apparizione o manifestazione della divinità, in forma personale o impersonale Oggetto o realtà in cui la manifestazione divina si realizza.";;;;;teofania;;;
"Agg: nitido, pulito";;;;;terso;;;
"s. f.
 Condizione di chi (o di ciò che) è tetro (anche fig.): la tetraggine di una vecchia casa; la tetraggine di un discorso  Umore tetro.";;;;;tetraggine;;;
"Dell'antica popolazione dei teutoni / Tedesco in senso spergiativo Esatezza tenacia tutonica";;;;;teutonico;;;
"La parte superiore della scarpa, che fascia il piede; se formata di più pezzi, il nome può indicare anche la sola parte anteriore: ";;;;;tomaia;;;
"(fam) un'azione o una frase fatta o detta a sproposito, che porta a una figuraccia";;;;;topica;;;
"1) attinente alla topica 2) cghe si riferisce al luogo 3) fondamentale decisivo ";;;;;topico;;;
"1 (lett.) Schiera di soldati  (est.) Quantità di persone che vanno insieme e disordinatamente: una torma di dimostranti  (fig., lett.) Insieme, quantità, spec. di idee, pensieri, sentimenti:
2 Branco di animali: una torma di bufali.
3 Reparto di cavalleria dell'esercito romano corrispondente al moderno plotone.";;;;;torma;;;
"bieco, feroce e minaccioso";;;;;torvo;;;
"Che (o Chi) tossisce spesso.";;;;;tossicoloso;;;
"(lett.) Che passa, è transitorio. SIN. Caduco, effimero";;;;;transeunte;;;
"(lett.) Che è tutto tremante e sbigottito (anche fig.).";;;;;tremebondo;;;
"1 (ret.) qualsiasi uso linguistico che trasferisca una parola dal significato suo proprio a un altro figurato; traslato: la metafora, la metonimia, la.. ";;;;;tropo;;;
"1 Gonfio
2 [in senso figurato] ampolloso, ridondante";;;;;tumido;;;
"recipiente liturgico sospeso a tre catenelle nel qulae si pone l'incenso, incensiere";;;;;turibolo;;;
"agg.
1 (lett.) Fertile, grasso, fecondo: paese ubertoso; campagne ubertose. CONTR. Sterile.";;;;;ubertoso;;;
"agg.
1 (lett.) Che è in ombra, che è pieno d'ombra:  CONTR. Solatio.
2 (fig.) Che ama l'ombra, il silenzio, la riservatezza e sim.: SIN. Introverso, timido.
3 (raro, fig.) Che nasce dal dubbio, dalla ambiguità, che è privo di chiarezza e sim.: ";;;;;umbratile;;;
"Profezia, predizione solenne ";;;;;vaticinio;;;
"Che è di una bellezza ideale, sia per la perfezione delle forme sia per la grazia e l'armonia dei movimenti: ";;;;;venusto;;;
"1. ant. Timore di fare cosa che possa venire rimproverata
2. Disposizione d’animo di chi rifugge da ogni cosa che possa, anche lontanamente, offendere il pudore, la riservatezza e la modestia";;;;;verecondia;;;
"1 anat. Dei visceri: 
2 fig. Istintivo, intenso: 
• avv.  in modo profondo:";;;;;viscerale;;;
