correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"Friuli-Venezia Giulia";;;;;"Quale delle seguenti Regioni italiane è bagnata dal Mar Adriatico?";;;Liguria|Sicilia|Toscana
Messina;;;;;"L'isola di Vulcano è in provincia di:";;;Pescara|Ragusa|Taranto
Sicilia;;;;;"In quale tra le seguenti Regioni italiane si trova il vulcano Etna?";;;Calabria|Puglia|Sardegna
Latina;;;;;"L'isola di Ponza è in provincia di:";;;Ancona|Caserta|Genova
"Lago Maggiore";;;;;"Quale dei seguenti laghi NON è completamente compreso nei confini italiani?";;;"Lago di Bolsena|Lago di Garda|Lago d'Iseo"
Messina;;;;;"L'isola di Stromboli è in provincia di:";;;"Pescara|Trapani|Vibo Valentia"
Sassari;;;;;"L'isola di Caprera è in provincia di:";;;Cagliari|Livorno|Siracusa
Sassari;;;;;"L'isola della Maddalena è in provincia di:";;;Genova|Livorno|Ravenna
Cagliari;;;;;"L'isola di Sant'Antioco è in provincia di:";;;Napoli|Palermo|Taranto
Sassari;;;;;"L'isola dell'Asinara è in provincia di:";;;Cagliari|Napoli|Palermo
"Lago d'Iseo";;;;;"Quale dei seguenti laghi è situato più a est?";;;"Lago di Como|Lago d'Orta|Lago Maggiore"
;;;;;"Quale tra i laghi seguenti NON si trova in Lombardia?";;;"Lago di Como|Lago di Varese|"
"Lago di Garda";;;;;"Quale tra i seguenti laghi italiani ha la superficie più estesa?";;;"Lago di Como|Lago Maggiore|Lago Trasimeno"
Palermo;;;;;"L'isola di Ustica è in provincia di:";;;"Messina|Napoli|Reggio Calabria"
Angola;;;;;"Quale dei seguenti Paesi si trova a sud dell'equatore?";;;Egitto|Tunisia|Turchia
Ecuador;;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;Arizona|Idaho|Montana
Guyana;;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;"Georgia|New Jersey|Virginia"
Colombia;;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;Alabama|Texas|Wisconsin
Alberta;;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;Alabama|Nebraska|Ohio
Cina;;;;;"Quale dei seguenti Paesi si trova a nord dell'equatore?";;;"Nuova Zelanda|Uruguay|Zambia"
Spagna;;;;;"Quale dei seguenti Paesi si trova a nord dell'equatore?";;;"Australia|Cile|Nuova Zelanda"
Israele;;;;;"In quale, tra i seguenti Stati, si trova il lago di Tiberiade?";;;Eritrea|Giappone|Polonia
Argentina;;;;;"Quale dei seguenti Paesi si trova a sud dell'equatore?";;;Grecia|Nicaragua|Senegal
Cile;;;;;"Quale dei seguenti Paesi si trova a sud dell'equatore?";;;Iran|Russia|Venezuela
Mozambico;;;;;"Quale dei seguenti Paesi si trova a sud dell'equatore?";;;Egitto|Francia|Messico
America;;;;;"In quale dei seguenti continenti si trova l'Ecuador?";;;Africa|Asia|Europa
Tanzania;;;;;"In quale, tra i seguenti Stati, si trova il lago Tanganica?";;;"Gran Bretagna|Mongolia|Uruguay"
Giordania;;;;;"Quale dei seguenti Stati confina con l'Arabia Saudita?";;;India|Polonia|Russia
Ecuador;;;;;"Quale dei seguenti Stati confina con la Colombia?";;;"Argentina|Stati Uniti|Uruguay"
Thailandia;;;;;"Quale dei seguenti Paesi si trova a nord dell'equatore?";;;"Nuova Zelanda|Paraguay|Sud Africa"
USA;;;;;"Quale dei seguenti Stati è attraversato dal fiume Mississippi?";;;Canada|Messico|Venezuela
Marocco;;;;;"In quale dei seguenti Stati si trova la catena montuosa dell'Atlante?";;;Ciad|Grecia|Iran
"In Asia";;;;;"In quale continente si trova l'Afghanistan?";;;"In Africa|In America|In Oceania"
Asia;;;;;"In quale area geografica si trova lo stato del Kazakistan?";;;"Africa|America Centro-Settentrionale|America Meridionale"
"America Meridionale";;;;;"In quale area geografica si trova lo stato di Santo Domingo?";;;"Africa|America Centro-Settentrionale|Asia"
Spagnolo;;;;;"Qual è la lingua ufficiale dell'Argentina?";;;Francese|Inglese|Italiano
"Mar Mediterraneo";;;;;"Quale dei seguenti mari bagna il Marocco?";;;"Mar Giallo|Mar Nero|Mare del Nord"
"Stati Uniti d'America";;;;;"Detroit, Sacramento e Phoenix. In quale dei seguenti Paesi si trovano queste città?";;;"Canada|Messico|Nuova Zelanda"
"Il Cairo";;;;;"Qual è la capitale dell'Egitto?";;;Alessandria|Gaza|Zagazig
"Nuova Zelanda";;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;"Maine|New Hampshire|Vermont"
USA;;;;;"Quale dei seguenti Stati è attraversato dal fiume Colorado?";;;Canada|Colombia|Venezuela
Honduras;;;;;"Quale dei seguenti NON è uno Stato degli USA?";;;"Indiana|Nevada|South Dakota"
Germania;;;;;"In quale, tra i seguenti Stati, si trova il lago di Costanza?";;;Belgio|Italia|Romania
"Stati Uniti d'America";;;;;"Quale Stato si affaccia sul Golfo del Messico?";;;Alaska|Canada|Islanda
Nepal;;;;;"In quale dei seguenti Stati si trova il monte Everest?";;;India|Russia|Yemen
"Stati Uniti d'America";;;;;"In quale dei seguenti Stati si trova la catena montuosa degli Appalachi?";;;Australia|Brasile|Spagna
"America Centro-Settentrionale";;;;;"In quale area geografica si trovano le Isole Vergini?";;;"Africa|America Meridionale|Asia"
Euro;;;;;"Qual è l'unità monetaria della Finlandia?";;;Dollaro|Rand|Yen
Euro;;;;;"Qual è l'unità monetaria dell'Austria?";;;Dollaro|Dracma|Yen
Rublo;;;;;"Qual è l'unità monetaria della Russia?";;;Dollaro|Marco|Rand
Euro;;;;;"Qual è l'unità monetaria dei Paesi Bassi?";;;Dollaro|Rand|Sterlina
Euro;;;;;"Qual è l'unità monetaria del Belgio?";;;Dollaro|Lira|Yen
Euro;;;;;"Qual è l'unità monetaria della Germania?";;;Dollaro|Franco|Rand
Euro;;;;;"Qual è l'unità monetaria della Francia?";;;Dollaro|Marco|Yen
Euro;;;;;"Qual è l'unità monetaria della Grecia?";;;Corona|Dracma|Fiorino
Sterlina;;;;;"Qual è l'unità monetaria della Gran Bretagna?";;;Dollaro|Peseta|Rand
